Zip,Lon,Lat,State,Pop
02186,-71.078543,42.253098,MA,27880
02188,-70.95737,42.207526,MA,15800
02189,-70.931744,42.212242,MA,15200
02190,-70.949346,42.170542,MA,17410
02191,-70.944516,42.243858,MA,8350
02199,-71.081911,42.348146,MA,1160
02210,-71.044074,42.348235,MA,4400
02215,-71.102665,42.347504,MA,26490
02301,-71.033547,42.081615,MA,62790
02302,-71.001832,42.088096,MA,34080
02322,-71.04265,42.125457,MA,4490
02324,-70.969836,41.978739,MA,28370
02330,-70.76753,41.886484,MA,11900
02332,-70.714918,42.04002,MA,16030
02333,-70.943846,42.032002,MA,14560
02338,-70.851286,41.998613,MA,7890
02339,-70.858858,42.123752,MA,14700
02341,-70.866187,42.0619,MA,10900
02343,-71.008048,42.146989,MA,11160
02346,-70.890923,41.890044,MA,24120
02347,-70.959301,41.836068,MA,11230
02351,-70.954933,42.11661,MA,16810
02356,-71.110836,42.055246,MA,15460
02359,-70.803048,42.063448,MA,18680
02360,-70.629932,41.900851,MA,59630
02364,-70.744318,41.990776,MA,13170
02367,-70.806878,41.963369,MA,3060
02368,-71.051706,42.173685,MA,33950
02370,-70.911849,42.127362,MA,17920
02375,-71.10095,42.016427,MA,9260
02379,-71.016359,42.024822,MA,6940
02382,-70.938163,42.081523,MA,15210
02420,-71.217661,42.455845,MA,14630
02421,-71.232148,42.43552,MA,18650
02445,-71.129477,42.332272,MA,21470
02446,-71.121927,42.343318,MA,31100
02451,-71.246298,42.395977,MA,16950
02452,-71.222928,42.392376,MA,15660
02453,-71.238296,42.369919,MA,31110
02458,-71.189372,42.354051,MA,13230
02459,-71.191024,42.31949,MA,20590
02460,-71.208074,42.352253,MA,8600
02461,-71.208616,42.318383,MA,7050
02462,-71.254542,42.330702,MA,2090
02464,-71.219388,42.313192,MA,3570
02465,-71.226828,42.352059,MA,12090
02466,-71.245998,42.345443,MA,8210
02467,-71.162661,42.316617,MA,23900
02468,-71.229851,42.327118,MA,5290
02472,-71.180581,42.371265,MA,34670
02474,-71.156667,42.420428,MA,28550
02476,-71.176021,42.417288,MA,17000
02478,-71.17435,42.389873,MA,26030
02481,-71.275977,42.311595,MA,16840
02482,-71.301312,42.297526,MA,12280
02492,-71.235099,42.278736,MA,20330
02493,-71.299699,42.359609,MA,11960
02494,-71.234084,42.297622,MA,9700
02532,-70.587588,41.727144,MA,14500
02535,-70.745051,41.355853,MA,1230
02536,-70.565136,41.588371,MA,19060
02537,-70.442803,41.725859,MA,6190
02538,-70.652335,41.770644,MA,5270
02539,-70.542516,41.391233,MA,4420
02540,-70.621016,41.565954,MA,8340
02542,-70.577124,41.659353,MA,610
02543,-70.662441,41.528158,MA,640
02554,-70.091076,41.267844,MA,11440
02556,-70.62199,41.641371,MA,3120
02557,-70.566293,41.436489,MA,160
02559,-70.608988,41.689448,MA,4250
02562,-70.533509,41.790372,MA,3010
02563,-70.475215,41.716243,MA,10230
02568,-70.609127,41.439109,MA,11650
02571,-70.711881,41.754092,MA,11330
02576,-70.761202,41.779373,MA,3780
02601,-70.300054,41.654374,MA,14220
02630,-70.298518,41.698955,MA,1580
02631,-70.070284,41.748185,MA,10270
02632,-70.350379,41.6614,MA,10300
02633,-69.982526,41.689339,MA,4340
02635,-70.440024,41.631222,MA,3450
02638,-70.186862,41.731362,MA,3300
02639,-70.133092,41.666976,MA,3000
02642,-69.984596,41.8401,MA,5080
02644,-70.511605,41.684676,MA,3880
02645,-70.059093,41.701984,MA,9570
02646,-70.072988,41.67146,MA,1840
02648,-70.417411,41.66858,MA,7470
02649,-70.487222,41.624675,MA,14230
02650,-69.965172,41.70213,MA,610
02652,-70.085641,42.033078,MA,1680
02653,-69.980654,41.779483,MA,5840
02655,-70.384085,41.639305,MA,3300
02657,-70.185992,42.054073,MA,2890
02659,-70.02317,41.682965,MA,1160
02660,-70.158344,41.710209,MA,6650
02664,-70.196905,41.673408,MA,9190
02666,-70.057252,42.002794,MA,1370
02667,-70.017568,41.926756,MA,2840
02668,-70.375557,41.700832,MA,3510
02670,-70.167045,41.662278,MA,1330
02671,-70.113614,41.667132,MA,980
02673,-70.238956,41.66105,MA,7940
02675,-70.223398,41.705928,MA,6350
02702,-71.0599,41.795059,MA,4330
02703,-71.30164,41.92915,MA,44730
02713,-70.757429,41.479755,MA,80
02715,-71.143314,41.817093,MA,3290
02717,-70.964397,41.761456,MA,4840
02718,-71.020174,41.869728,MA,7010
02719,-70.888151,41.642212,MA,16230
02720,-71.138449,41.720108,MA,31220
02721,-71.156077,41.686797,MA,26440
02723,-71.132441,41.693029,MA,15040
02724,-71.174258,41.685422,MA,17660
02725,-71.177545,41.72427,MA,2700
02726,-71.148189,41.757152,MA,15930
02738,-70.766394,41.709174,MA,5220
02739,-70.816066,41.663464,MA,6340
02740,-70.937238,41.635217,MA,44160
02743,-70.90717,41.703167,MA,10570
02744,-70.916369,41.612419,MA,12110
02745,-70.935385,41.693107,MA,25120
02746,-70.932029,41.660194,MA,15970
02747,-71.000287,41.640646,MA,23880
02748,-70.981043,41.561025,MA,11430
02760,-71.33071,41.97564,MA,27350
02762,-71.327543,42.012063,MA,9160
02763,-71.307305,41.969258,MA,2230
02764,-71.15147,41.855593,MA,4170
02766,-71.189957,41.968909,MA,19680
02767,-71.043943,41.931219,MA,14370
02769,-71.247909,41.844406,MA,11690
02770,-70.840438,41.760078,MA,5440
02771,-71.322179,41.841704,MA,15080
02777,-71.212332,41.748217,MA,16560
02779,-71.077866,41.836409,MA,6800
02780,-71.103716,41.904184,MA,50110
02790,-71.087029,41.620826,MA,16570
02804,-71.779002,41.427593,RI,2790
02806,-71.317426,41.744313,RI,16410
02807,-71.57174,41.172832,RI,1340
02808,-71.747232,41.404589,RI,2170
02809,-71.266289,41.682799,RI,22250
02812,-71.65531,41.475741,RI,1640
02813,-71.659829,41.401879,RI,7740
02814,-71.680425,41.901765,RI,7570
02815,-71.675389,41.774645,RI,230
02816,-71.575595,41.693132,RI,31720
02817,-71.65187,41.638223,RI,6330
02818,-71.481671,41.649643,RI,18640
02822,-71.582684,41.56391,RI,5880
02825,-71.71839,41.780446,RI,4760
02827,-71.721005,41.702533,RI,2310
02828,-71.556745,41.874518,RI,7840
02830,-71.651027,41.975221,RI,6620
02831,-71.572902,41.737296,RI,4870
02832,-71.723913,41.507816,RI,4480
02833,-71.778144,41.475616,RI,650
02835,-71.37593,41.516854,RI,5460
02836,-71.622365,41.447499,RI,60
02837,-71.159635,41.52347,RI,3510
02838,-71.473674,41.967555,RI,3380
02839,-71.649815,41.948938,RI,1630
02840,-71.310557,41.490391,RI,23410
02841,-71.324014,41.517318,RI,1500
02842,-71.286889,41.519352,RI,16170
02852,-71.463107,41.588903,RI,23010
02857,-71.625567,41.840062,RI,8870
02858,-71.648962,41.961836,RI,590
02859,-71.715932,41.96344,RI,6910
02860,-71.390054,41.873136,RI,45700
02861,-71.355579,41.881643,RI,26770
02863,-71.393799,41.888983,RI,19460
02864,-71.417664,41.95077,RI,34120
02865,-71.436396,41.909573,RI,17640
02871,-71.251442,41.59219,RI,18030
02872,-71.312415,41.614028,RI,260
02873,-71.770954,41.526789,RI,240
02874,-71.46248,41.51269,RI,5800
02875,-71.639638,41.456187,RI,240
02878,-71.177466,41.633825,RI,15890
02879,-71.520337,41.4372,RI,21150
02881,-71.529813,41.483358,RI,8210
02882,-71.462056,41.434299,RI,14220
02885,-71.269627,41.726541,RI,10730
02886,-71.455431,41.703214,RI,29690
02888,-71.408233,41.749999,RI,19890
02889,-71.394025,41.709828,RI,27670
02891,-71.810861,41.369338,RI,20970
02892,-71.600035,41.51207,RI,4770
02893,-71.517952,41.700551,RI,29240
02894,-71.702978,41.458382,RI,1050
02895,-71.504664,42.002843,RI,41600
02896,-71.554749,41.98546,RI,12040
02898,-71.674864,41.527963,RI,2180
02903,-71.415478,41.822092,RI,11370
02904,-71.434854,41.859807,RI,29510
